"method.set"	"coverage.set"	"smaller.set"	"bigger.set"	"truemean.set"	"bootmean.set"	"n.set"	"B.set"	"round.set"	"difference.set"	"length.set"	"distribution.set"
2	0.8	0	0.1	9.888	9.35791990341291	50	10	10	0.530080096587088	-3.28271876583821	"normal"
3	0.9	0	0	9.888	9.11857631013259	50	10	10	0.769423689867406	-3.05417440719571	"normal"
1	0.8	0	0.2	9.888	9.50657074242061	50	10	10	0.381429257579386	-2.54960643866077	"normal"
2	0.9	0	0.1	9.888	9.6259301633398	50	10	10	0.262069836660205	-2.71880438677272	"normal"
3	1	0	0	9.888	9.47817717694195	50	10	10	0.409822823058052	-4.46726467134326	"normal"
1	0.1	0	0	9.888	9.26489429749163	50	100	10	0.623105702508365	-4.33978264669146	"normal"
2	0.1	0	0	9.888	9.36189658841889	50	100	10	0.526103411581111	-4.64128388512891	"normal"
3	0.1	0	0	9.888	9.44770639637714	50	100	10	0.440293603622862	-3.24943290553264	"normal"
1	0.2	0	0	9.888	9.34087667198163	50	100	10	0.547123328018372	-3.40537171729478	"normal"
2	0.2	0	0	9.888	9.27501426701768	50	100	10	0.612985732982322	-4.0313300886062	"normal"
3	0.2	0	0	9.888	9.53924470516185	50	100	10	0.348755294838146	-4.23673419346123	"normal"
1	0.3	0	0	9.888	9.36138419668314	50	100	10	0.526615803316856	-4.15550385837873	"normal"
2	0.3	0	0	9.888	9.32759829483835	50	100	10	0.560401705161649	-3.28706629692387	"normal"
3	0.3	0	0	9.888	9.38791740177331	50	100	10	0.500082598226687	-3.47702723724921	"normal"
1	0.4	0	0	9.888	9.35467183618573	50	100	10	0.53332816381427	-4.29497290005695	"normal"
2	0.4	0	0	9.888	9.36447740945334	50	100	10	0.523522590546662	-3.46788295049173	"normal"
3	0.4	0	0	9.888	9.10793811792027	50	100	10	0.780061882079726	-4.25241588046011	"normal"
1	0.5	0	0	9.888	9.34593256078987	50	100	10	0.542067439210125	-3.61284386122472	"normal"
2	0.5	0	0	9.888	9.36270107311258	50	100	10	0.525298926887416	-3.40580936246936	"normal"
3	0.5	0	0	9.888	9.44754600889918	50	100	10	0.440453991100819	-3.82168396298753	"normal"
